form,tags
acceptatifs,"['masculine', 'plural']"
acceptatifs,
acceptative,
acceptative,"['feminine', 'singular']"
acceptatives,"['feminine', 'plural']"
acceptatives,
accessible,
accessibles,
accessibles,['plural']
accessoire,
accessoires,['plural']
accessoires,
accessoirisé,
accessoirisée,
accessoirisée,"['feminine', 'singular']"
accessoirisées,"['feminine', 'plural']"
accessoirisées,
accessoirisés,
accessoirisés,"['masculine', 'plural']"
accidentable,
accidentables,
accidentables,['plural']
accidentel,
accidentelle,
accidentelle,"['feminine', 'singular']"
accidentelles,
accidentelles,"['feminine', 'plural']"
accidentels,"['masculine', 'plural']"
accidentels,
accidentogène,
accidentogènes,
accidentogènes,['plural']
accidenté,
accidentée,"['feminine', 'singular']"
accidentée,
accidentées,
accidentées,"['feminine', 'plural']"
accidentés,"['masculine', 'plural']"
accidentés,
accipitrin,
accipitrine,
accipitrine,"['feminine', 'singular']"
accipitrines,"['feminine', 'plural']"
accipitrines,
accipitrins,"['masculine', 'plural']"
accipitrins,
accisien,
accisienne,
accisienne,"['feminine', 'singular']"
accisiennes,
accisiennes,"['feminine', 'plural']"
accisiens,"['masculine', 'plural']"
acclamatif,
acclamatifs,
acclamatifs,"['masculine', 'plural']"
acclamative,"['feminine', 'singular']"
acclamative,
acclamatives,"['feminine', 'plural']"
acclamatives,
acclimatable,
acclimatables,['plural']
acclimatables,
acclimaté,
acclimatée,"['feminine', 'singular']"
acclimatées,"['feminine', 'plural']"
acclimatés,"['masculine', 'plural']"
accolé,
accolée,
accolée,"['feminine', 'singular']"
accolées,
accolées,"['feminine', 'plural']"
accolés,"['masculine', 'plural']"
accolés,
accombant,
accombante,
accombante,"['feminine', 'singular']"
accombantes,"['feminine', 'plural']"
accombantes,
accombants,"['masculine', 'plural']"
accombants,
accommodant,
accommodante,
accommodante,"['feminine', 'singular']"
accommodantes,
accommodantes,"['feminine', 'plural']"
accommodants,
accommodants,"['masculine', 'plural']"
accommodateur,
accommodateurs,
accommodateurs,"['masculine', 'plural']"
accommodatrice,
accommodatrice,"['feminine', 'singular']"
accommodatrices,
accommodatrices,"['feminine', 'plural']"
accompli,
accomplie,"['feminine', 'singular']"
accomplie,
accomplies,
accomplies,"['feminine', 'plural']"
accomplis,
accomplis,"['masculine', 'plural']"
accordable,
accordables,
accordables,['plural']
accordé,
accordée,"['feminine', 'singular']"
accordées,"['feminine', 'plural']"
accordéonesque,
accordéonesques,['plural']
accordéonesques,
accordés,"['masculine', 'plural']"
accore,
accores,['plural']
accorné,
accornée,
accornée,"['feminine', 'singular']"
accornées,
accornées,"['feminine', 'plural']"
accornés,"['masculine', 'plural']"
accornés,
accort,
accorte,"['feminine', 'singular']"
accorte,
accortes,
accortes,"['feminine', 'plural']"
accorts,
accorts,"['masculine', 'plural']"
accostable,
accostables,
accostables,['plural']
accouplable,
accouplables,
accouplables,['plural']
accoutré,
accoutrée,
accoutrée,"['feminine', 'singular']"
accoutrées,"['feminine', 'plural']"
accoutrées,
accoutrés,"['masculine', 'plural']"
accoutrés,
accoutumé,
accoutumée,"['feminine', 'singular']"
accoutumées,"['feminine', 'plural']"
accoutumés,"['masculine', 'plural']"
accrescent,
accrescente,
accrescente,"['feminine', 'singular']"
accrescentes,"['feminine', 'plural']"
accrescentes,
accrescents,
accrescents,"['masculine', 'plural']"
accro,
accrocheur,
accrocheurs,
accrocheurs,"['masculine', 'plural']"
accrocheuse,"['feminine', 'singular']"
accrocheuse,
accrocheuses,
accrocheuses,"['feminine', 'plural']"
accroissable,
accroissables,['plural']
accroissables,
accroissant,
accroissante,"['feminine', 'singular']"
accroissante,
accroissantes,"['feminine', 'plural']"
accroissantes,
accroissants,
accroissants,"['masculine', 'plural']"
accros,['plural']
accréditeur,
accréditeurs,"['masculine', 'plural']"
accréditeurs,
accréditrice,
accréditrice,"['feminine', 'singular']"
accréditrices,
accréditrices,"['feminine', 'plural']"
accrémentitiel,
accrémentitielle,"['feminine', 'singular']"
accrémentitielle,
accrémentitielles,
accrémentitielles,"['feminine', 'plural']"
accrémentitiels,"['masculine', 'plural']"
accrémentitiels,
accrétionnaire,
accrétionnaires,
accrétionnaires,['plural']
accueillable,
accueillables,
accueillables,['plural']
accueillant,
accueillante,
accueillante,"['feminine', 'singular']"
accueillantes,"['feminine', 'plural']"
accueillantes,
accueillants,
